symbol,interval,strategy,max_drawdown_pct_full_run
SOLUSDT,60,RSI14_7030,82.7672
SOLUSDT,60,RSI14_trend50,85.5266
SOLUSDT,60,RSI21_7030,83.0145
SOLUSDT,60,RSI7_6535,83.9767
SOLUSDT,60,RSI7_trend50,85.6053
SOLUSDT,60,STOCH14_EMA13_34,84.5444
SOLUSDT,60,STOCH14_EMA8_21,81.6931
SOLUSDT,60,STOCH14_cross,83.2995
SOLUSDT,60,STOCH5_cross,81.6439
SOLUSDT,60,TS_13_34_100_14,82.5936
SOLUSDT,60,TS_13_34_200_14,86.1098
SOLUSDT,60,TS_8_21_100_14,83.2368
SOLUSDT,60,TS_8_21_50_14,81.9724
ETHUSDT,240,ADX14_DI_20,81.5252
ETHUSDT,240,ADX14_DI_25,80.1966
ETHUSDT,240,ADX14_EMA13_34,85.5674
ETHUSDT,240,ADX14_EMA21_50,88.9554
ETHUSDT,240,ADX14_EMA8_21,86.0361
ETHUSDT,240,BB_10_2_RSI14,82.8147
ETHUSDT,240,BB_10_2_breakout,87.7318
ETHUSDT,240,BB_20_25_ADX20,85.2691
ETHUSDT,240,BB_20_25_ADX25,86.4811
ETHUSDT,240,BB_20_25_EMA100,85.9902
ETHUSDT,240,BB_20_25_EMA200,86.034
ETHUSDT,240,BB_20_25_EMA50,87.1482
ETHUSDT,240,BB_20_25_MACD,84.1366
ETHUSDT,240,BB_20_25_RSI14,85.254
ETHUSDT,240,BB_20_25_RSI14_55,85.254
ETHUSDT,240,BB_20_25_SQ,84.8881
ETHUSDT,240,BB_20_25_VOL12,82.7754
ETHUSDT,240,BB_20_25_breakout,85.254
ETHUSDT,240,BB_20_25_revert,86.4089
ETHUSDT,240,BB_20_2_ADX20,83.3206
ETHUSDT,240,BB_20_2_EMA100,85.8778
ETHUSDT,240,BB_20_2_EMA200,86.9563
ETHUSDT,240,BB_20_2_EMA50,88.1117
ETHUSDT,240,BB_20_2_MACD,88.9628
ETHUSDT,240,BB_20_2_RSI14,88.1117
ETHUSDT,240,BB_20_2_RSI14_55,84.5558
ETHUSDT,240,BB_20_2_RSI7_50,83.18
ETHUSDT,240,BB_20_2_SQ,85.2949
ETHUSDT,240,BB_20_2_VOL12,88.5277
ETHUSDT,240,BB_20_2_breakout,88.1117
ETHUSDT,240,BB_20_2_mid,83.2979
ETHUSDT,240,BB_20_2_revert,82.3447
ETHUSDT,240,EMA3_13_34_100,85.9526
ETHUSDT,240,EMA3_13_50_200,90.1915
ETHUSDT,240,EMA3_21_50_200,87.5495
ETHUSDT,240,EMA3_8_21_100,88.686
ETHUSDT,240,EMA3_8_21_50,87.3738
ETHUSDT,240,EMA3_8_34_100,89.1156
ETHUSDT,240,EMA_13_34,85.7831
ETHUSDT,240,EMA_13_34_RSI14_55,87.4381
ETHUSDT,240,EMA_13_34_RSI7_55,85.8748
ETHUSDT,240,EMA_13_34_VOL12,89.8554
ETHUSDT,240,EMA_13_50,86.7881
ETHUSDT,240,EMA_21_100,85.9258
ETHUSDT,240,EMA_21_50,86.9879
ETHUSDT,240,EMA_21_50_RSI14_55,86.0835
ETHUSDT,240,EMA_34_100,86.9652
ETHUSDT,240,EMA_50_200,87.4132
ETHUSDT,240,EMA_8_21,88.0792
ETHUSDT,240,EMA_8_21_RSI14_55,86.9716
ETHUSDT,240,EMA_8_21_RSI14_60,84.9476
ETHUSDT,240,EMA_8_21_VOL12,87.033
ETHUSDT,240,EMA_8_21_VOL15,87.5604
ETHUSDT,240,EMA_8_34,85.1011
ETHUSDT,240,EMA_8_34_RSI14_60,83.021
ETHUSDT,240,EMA_BB_ADX_13_34,88.4074
ETHUSDT,240,EMA_BB_ADX_8_21,83.7702
ETHUSDT,240,MACD_12_26_hist,85.5269
ETHUSDT,240,MACD_12_26_sig,85.5269
ETHUSDT,240,MACD_8_21_hist,83.5087
ETHUSDT,240,MACD_8_21_sig,83.5087
ETHUSDT,240,MACD_RSI14_50,84.2313
ETHUSDT,240,MACD_RSI14_55,82.575
ETHUSDT,240,MACD_RSI7_50,83.3725
ETHUSDT,240,MACD_RSI7_55,81.6221
ETHUSDT,240,RSI14_6535,85.3537
ETHUSDT,240,RSI14_7030,81.9681
ETHUSDT,240,RSI14_trend50,80.9709
ETHUSDT,240,RSI21_7030,86.2286
ETHUSDT,240,RSI7_6535,82.7851
ETHUSDT,240,RSI7_trend50,80.6238
ETHUSDT,240,STOCH14_EMA13_34,83.7933
