symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
XRPUSDT,240,BB_20_25_RSI14,10.0,,True,0.03,0,one_shot,74,221.201746,236.68537,15.483624,12.77,47,6,41,346.296659,-125.094913,57.71611,-3.051095,5.021,31.17,35,0,11,1,18.1838,721.201746,True,0.09
XRPUSDT,240,BB_20_25_RSI14_55,10.0,,True,0.03,0,one_shot,74,221.201746,236.68537,15.483624,12.77,47,6,41,346.296659,-125.094913,57.71611,-3.051095,5.021,31.17,35,0,11,1,18.1838,721.201746,True,0.08
XRPUSDT,240,BB_20_25_SQ,10.0,,True,0.03,0,one_shot,46,177.686815,187.364862,9.678047,3.45,29,1,28,267.642315,-89.9555,267.642315,-3.212696,1.1861,36.79,27,0,2,0,22.4979,677.686815,True,0.09
XRPUSDT,240,BB_20_25_VOL12,10.0,,True,0.03,0,one_shot,70,212.457624,227.608099,15.150475,10.87,46,5,41,341.599853,-129.142228,68.319971,-3.14981,4.4072,31.74,37,0,8,1,18.5406,712.457624,True,0.09
XRPUSDT,240,BB_20_25_revert,10.0,,True,0.03,0,one_shot,74,33.650464,55.043699,21.393235,25.37,67,17,50,199.659464,-166.009,11.744674,-3.32018,22.0392,13.27,50,0,17,0,7.8289,533.650464,True,0.08
XRPUSDT,240,BB_20_2_ADX20,10.0,,True,0.03,0,one_shot,131,215.923733,237.859461,21.935728,14.93,67,10,57,381.480068,-165.556335,38.148007,-2.904497,7.0751,25.33,45,0,21,1,21.7454,715.923733,True,0.09
XRPUSDT,240,BB_20_2_EMA100,10.0,,True,0.03,0,one_shot,120,168.334654,188.268117,19.933463,13.11,61,8,53,325.979837,-157.645183,40.74748,-2.974437,6.8031,27.28,43,0,17,1,22.8892,668.334654,True,0.09
XRPUSDT,240,BB_20_2_EMA200,10.0,,True,0.03,0,one_shot,107,225.530632,238.770663,13.240031,17.5,40,7,33,326.088848,-100.558216,46.584121,-3.047219,6.1397,47.45,28,0,11,1,20.2975,725.530632,True,0.09
XRPUSDT,240,BB_20_2_EMA50,10.0,,True,0.03,0,one_shot,128,217.740487,239.340966,21.600479,16.67,66,11,55,384.095118,-166.354631,34.917738,-3.02463,7.9716,26.03,46,0,19,1,21.8196,717.740487,True,0.12
XRPUSDT,240,BB_20_2_MACD,10.0,,True,0.03,0,one_shot,135,225.574377,247.830896,22.256519,17.65,68,12,56,390.832366,-165.257989,32.569364,-2.951036,8.308,24.76,45,0,22,1,19.5634,725.574377,True,0.09
XRPUSDT,240,BB_20_2_RSI14,10.0,,True,0.03,0,one_shot,135,225.574377,247.830896,22.256519,17.65,68,12,56,390.832366,-165.257989,32.569364,-2.951036,8.308,24.76,45,0,22,1,19.5634,725.574377,True,0.09
