group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,BTCUSDT,60,LORENTZIAN_default,0,0.03,-335.315875,-182.873754,152.442121,33.4,476,73,67.4758,164.684125,True,5.9
lorentzian,BTCUSDT,60,LORENTZIAN_default,5,0.03,-283.177991,-143.873188,139.304803,34.25,435,58,57.2263,216.822009,True,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_default,10,0.03,-270.422025,-133.69432,136.727705,34.19,427,51,55.21,229.577975,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,20,0.03,-240.220443,-110.864851,129.355592,34.16,404,43,48.8436,259.779557,True,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_default,50,0.03,-204.699593,-89.745807,114.953786,34.26,359,33,42.0695,295.300407,True,0.17
lorentzian,BTCUSDT,60,LORENTZIAN_raw,0,0.03,-400.344591,-151.569394,248.775197,25.1,777,40,80.1522,99.655409,False,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_raw,5,0.03,-400.773051,-133.132226,267.640825,24.88,836,33,80.2407,99.226949,False,0.31
lorentzian,BTCUSDT,60,LORENTZIAN_raw,10,0.03,-400.322797,-117.962933,282.359864,25.06,882,32,80.1478,99.677203,False,0.2
lorentzian,BTCUSDT,60,LORENTZIAN_raw,20,0.03,-400.324608,-115.097636,285.226973,25.14,891,32,80.1482,99.675392,False,0.27
lorentzian,BTCUSDT,60,LORENTZIAN_raw,50,0.03,-364.677677,-89.386308,275.29137,26.05,860,28,73.0486,135.322323,True,0.28
lorentzian,XRPUSDT,240,LORENTZIAN_default,0,0.03,-403.273764,-303.103547,100.170216,26.2,313,130,80.8812,96.726236,False,0.93
lorentzian,XRPUSDT,240,LORENTZIAN_default,5,0.03,-402.065757,-320.178654,81.887104,18.75,256,123,80.5756,97.934243,False,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_default,10,0.03,-355.115568,-281.861441,73.254127,20.52,229,102,71.2635,144.884432,True,0.1
lorentzian,XRPUSDT,240,LORENTZIAN_default,20,0.03,-227.997296,-176.143555,51.853742,20.99,162,67,46.0508,272.002704,True,0.12
