symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
ETHUSDT,60,EMA_13_34_RSI14_55,0.05,-404.850525,39.04,456,81.0611,95.149475,False
ETHUSDT,60,EMA_13_34_RSI14_55,0.08,-402.624444,39.37,447,80.618,97.375556,False
ETHUSDT,60,EMA_13_34_RSI14_55,0.12,-400.1769,39.73,443,80.2462,99.8231,False
ETHUSDT,60,RSI14_7030,0.03,-403.218545,45.96,446,80.7358,96.781455,False
ETHUSDT,60,RSI14_7030,0.05,-320.741792,53.6,347,64.8436,179.258208,True
ETHUSDT,60,RSI14_7030,0.08,-288.485107,57.43,296,59.9725,211.514893,True
ETHUSDT,60,RSI14_7030,0.12,-242.415646,57.31,260,50.1698,257.584354,True
ETHUSDT,60,MACD_12_26_hist,0.03,-401.805749,30.72,625,80.3679,98.194251,False
ETHUSDT,60,MACD_12_26_hist,0.05,-400.414699,30.4,602,80.0898,99.585301,False
ETHUSDT,60,MACD_12_26_hist,0.08,-400.265715,30.51,613,80.06,99.734285,False
ETHUSDT,60,MACD_12_26_hist,0.12,-400.851035,30.36,616,80.177,99.148965,False
ETHUSDT,60,MACD_RSI14_50,0.03,-400.573758,31.4,570,80.1538,99.426242,False
ETHUSDT,60,MACD_RSI14_50,0.05,-401.385981,31.44,547,80.3388,98.614019,False
ETHUSDT,60,MACD_RSI14_50,0.08,-400.249568,31.43,544,80.0891,99.750432,False
ETHUSDT,60,MACD_RSI14_50,0.12,-400.446626,31.49,543,80.1284,99.553374,False
ETHUSDT,60,BB_20_25_breakout,0.03,-148.326733,44.39,223,30.3585,351.673267,True
ETHUSDT,60,BB_20_25_breakout,0.05,-160.819571,49.28,209,33.4334,339.180429,True
ETHUSDT,60,BB_20_25_breakout,0.08,-170.882745,50.99,202,35.8053,329.117255,True
ETHUSDT,60,BB_20_25_breakout,0.12,-177.089385,51.27,197,37.0365,322.910615,True
ETHUSDT,60,BB_20_2_RSI14,0.03,-390.450756,35.71,392,78.1371,109.549244,True
ETHUSDT,60,BB_20_2_RSI14,0.05,-402.282079,38.48,356,80.4983,97.717921,False
ETHUSDT,60,BB_20_2_RSI14,0.08,-401.682844,39.08,348,80.3787,98.317156,False
ETHUSDT,60,BB_20_2_RSI14,0.12,-400.055914,39.13,345,80.054,99.944086,False
ETHUSDT,60,ADX14_DI_20,0.03,-401.545638,27.09,646,80.3159,98.454362,False
ETHUSDT,60,ADX14_DI_20,0.05,-402.171841,27.16,626,80.4411,97.828159,False
ETHUSDT,60,ADX14_DI_20,0.08,-400.888321,27.03,629,80.1845,99.111679,False
ETHUSDT,60,ADX14_DI_20,0.12,-400.202278,27.2,625,80.0473,99.797722,False
ETHUSDT,60,STOCH14_cross,0.03,-401.956529,20.73,873,80.4395,98.043471,False
