symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived,seconds
DOGEUSDT,240,RSI14_7030,0.03,-400.0065,16.67,240,80.2645,99.9935,False,0.08
DOGEUSDT,240,MACD_12_26_hist,0.03,-401.827734,17.42,287,80.3655,98.172266,False,0.09
DOGEUSDT,240,MACD_RSI14_50,0.03,-400.096946,19.27,275,80.0194,99.903054,False,0.08
DOGEUSDT,240,BB_20_25_breakout,0.03,-111.609554,16.47,85,22.3351,388.390446,True,0.06
DOGEUSDT,240,BB_20_2_RSI14,0.03,-307.242078,15.28,216,61.455,192.757922,True,0.07
DOGEUSDT,240,ADX14_DI_20,0.03,-400.509563,18.45,309,80.2431,99.490437,False,0.08
DOGEUSDT,240,STOCH14_cross,0.03,-400.515352,14.45,339,80.1574,99.484648,False,0.15
DOGEUSDT,240,TS_13_34_200_14,0.03,-401.761666,18.7,262,80.3768,98.238334,False,0.13
DOGEUSDT,240,LORENTZIAN_default,0.03,-401.299346,15.93,270,80.2599,98.700654,False,0.08
DOGEUSDT,240,LORENTZIAN_raw,0.03,-400.599583,17.94,301,80.1254,99.400417,False,0.08
DOGEUSDT,60,EMA_8_21,0.03,-400.557997,29.46,353,80.2789,99.442003,False,0.26
DOGEUSDT,60,EMA_13_34_RSI14_55,0.03,-401.936184,30.5,318,80.4791,98.063816,False,0.2
DOGEUSDT,60,RSI14_7030,0.03,-401.091166,40.57,350,80.3715,98.908834,False,0.25
DOGEUSDT,60,MACD_12_26_hist,0.03,-400.263482,26.4,356,80.1751,99.736518,False,0.24
DOGEUSDT,60,MACD_RSI14_50,0.03,-400.210204,26.87,335,80.0801,99.789796,False,0.24
DOGEUSDT,60,BB_20_25_breakout,0.03,-314.020124,34.96,266,63.1166,185.979876,True,0.2
DOGEUSDT,60,BB_20_2_RSI14,0.03,-401.098247,31.52,330,80.2693,98.901753,False,0.16
DOGEUSDT,60,ADX14_DI_20,0.03,-402.186253,27.55,392,80.5469,97.813747,False,0.24
DOGEUSDT,60,STOCH14_cross,0.03,-400.023051,16.79,554,80.0438,99.976949,False,0.26
DOGEUSDT,60,TS_13_34_200_14,0.03,-400.909027,31.91,329,80.2746,99.090973,False,0.25
DOGEUSDT,60,LORENTZIAN_default,0.03,-400.922522,30.45,312,80.1845,99.077478,False,0.23
DOGEUSDT,60,LORENTZIAN_raw,0.03,-400.983213,28.42,387,80.3338,99.016787,False,0.23
