symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
DOGEUSDT,240,LORENTZIAN_default,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,64,-63.962628,-43.452096,20.510532,21.88,64,14,50,30.444425,-94.407053,2.174602,-1.888141,46.4745,2.86,12,52,0,0,13.2871,436.037372,True,0.1
DOGEUSDT,240,LORENTZIAN_default,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,64,-76.971875,-56.495693,20.476182,29.69,64,19,45,17.702345,-94.674221,0.931702,-2.103872,69.3072,2.72,25,38,1,0,15.3944,423.028125,True,0.12
DOGEUSDT,240,LORENTZIAN_default,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,64,-77.028875,-56.552608,20.476267,29.69,64,19,45,17.645345,-94.674221,0.928702,-2.103872,69.3758,2.73,25,38,1,0,15.4058,422.971125,True,0.09
DOGEUSDT,240,LORENTZIAN_default,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,64,-59.577739,-39.090185,20.487554,29.69,64,19,45,39.585097,-99.162835,2.083426,-2.203619,51.4018,3.55,25,38,1,0,12.4151,440.422261,True,0.09
DOGEUSDT,240,LORENTZIAN_default,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,64,-55.939214,-35.415942,20.523272,39.06,64,25,39,63.189917,-119.129131,2.527597,-3.054593,54.7203,5.34,35,28,1,0,11.7637,444.060786,True,0.11
DOGEUSDT,240,LORENTZIAN_default,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,64,-57.362678,-36.841544,20.521134,39.06,64,25,39,61.766453,-119.129131,2.470658,-3.054593,55.2842,5.36,35,28,1,0,12.0465,442.637322,True,0.09
DOGEUSDT,240,LORENTZIAN_default,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,64,-50.394995,-29.867916,20.527079,39.06,64,25,39,68.734136,-119.129131,2.749365,-3.054593,52.6295,5.59,35,28,1,0,10.662,449.605005,True,0.32
DOGEUSDT,60,LORENTZIAN_default,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,301,-301.213337,-204.883786,96.329551,11.63,301,35,266,9.303476,-310.516813,0.265814,-1.167356,81.4528,3.99,56,219,26,0,60.2427,198.786663,True,0.22
DOGEUSDT,60,LORENTZIAN_default,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,301,-305.79131,-209.442808,96.348502,18.6,301,56,245,48.991101,-354.782411,0.874841,-1.448091,62.3389,6.29,56,217,28,0,61.1583,194.20869,True,0.19
DOGEUSDT,60,LORENTZIAN_default,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,301,-254.960646,-158.682799,96.277847,27.57,301,83,218,207.722274,-462.68292,2.502678,-2.122399,45.8889,13.61,56,180,64,1,53.7152,245.039354,True,0.25
DOGEUSDT,60,LORENTZIAN_default,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,301,-327.925358,-231.580415,96.344943,35.88,301,108,193,137.995575,-465.920933,1.277737,-2.414098,65.3902,10.28,106,133,61,1,66.7475,172.074642,True,0.25
DOGEUSDT,60,LORENTZIAN_default,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,301,-327.293101,-230.957756,96.335345,35.88,301,108,193,138.627832,-465.920933,1.283591,-2.414098,65.2867,10.81,106,131,63,1,66.6211,172.706899,True,0.21
DOGEUSDT,60,LORENTZIAN_default,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,301,-268.97164,-172.651323,96.320316,29.24,301,88,213,215.065375,-484.037014,2.443925,-2.272474,48.1824,14.72,106,119,75,1,56.5174,231.02836,True,0.2
DOGEUSDT,60,LORENTZIAN_default,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,301,-265.32196,-168.941496,96.380464,30.56,301,92,209,277.03843,-542.36039,3.011287,-2.595026,46.2876,15.73,126,77,97,1,54.7243,234.67804,True,0.19
DOGEUSDT,60,LORENTZIAN_default,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,301,-266.160971,-169.779657,96.381314,30.56,301,92,209,276.199419,-542.36039,3.002168,-2.595026,46.363,15.87,126,77,97,1,54.8922,233.839029,True,0.27
DOGEUSDT,60,LORENTZIAN_default,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,301,-241.659289,-145.297942,96.361347,30.56,301,92,209,300.701102,-542.36039,3.26849,-2.595026,44.2572,17.51,126,76,98,1,50.8923,258.340711,True,0.19
