symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
DOGEUSDT,240,ADX14_DI_20,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,244,-264.817276,-190.215506,74.60177,23.61,233,55,178,100.545223,-365.362499,1.828095,-2.052598,52.8926,3.31,79,95,59,0,53.2971,235.182724,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,244,-231.693956,-158.111359,73.582597,27.83,230,64,166,162.987511,-394.681467,2.54668,-2.377599,48.2832,3.98,88,60,82,0,48.0313,268.306044,True,0.11
DOGEUSDT,240,ADX14_DI_20,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,244,-233.920711,-160.339878,73.580832,27.83,230,64,166,160.760756,-394.681467,2.511887,-2.377599,48.6268,3.99,88,60,82,0,48.4735,266.079289,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,244,-226.520905,-152.918971,73.601934,27.83,230,64,166,168.160562,-394.681467,2.627509,-2.377599,47.5035,4.19,88,59,83,0,46.7185,273.479095,True,0.09
DOGEUSDT,240,DONCHIAN_55,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,18,-14.521006,-8.76454,5.756466,5.56,18,1,17,0.119062,-14.640068,0.119062,-0.86118,87.8538,0.89,3,15,0,0,2.9895,485.478994,True,0.15
DOGEUSDT,240,DONCHIAN_55,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,18,-17.820237,-12.063554,5.756683,0.0,18,0,18,0.0,-17.820237,0.0,-0.990013,100.0,1.0,3,15,0,0,3.6488,482.179763,True,0.12
DOGEUSDT,240,DONCHIAN_55,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,18,-15.236033,-9.471765,5.764268,16.67,18,3,15,11.000625,-26.236658,3.666875,-1.749111,32.2953,3.67,3,15,0,0,3.4976,484.763967,True,0.13
DOGEUSDT,240,DONCHIAN_55,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,18,-27.6592,-21.901497,5.757704,5.56,18,1,17,1.497469,-29.15667,1.497469,-1.715098,53.3871,2.11,8,10,0,0,5.7529,472.3408,True,0.09
DOGEUSDT,240,DONCHIAN_55,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,18,-28.240655,-22.482081,5.758574,5.56,18,1,17,0.916014,-29.15667,0.916014,-1.715098,65.1853,2.11,8,10,0,0,5.8689,471.759345,True,0.08
DOGEUSDT,240,DONCHIAN_55,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,18,-18.077756,-12.31273,5.765026,16.67,18,3,15,11.000625,-29.078381,3.666875,-1.938559,34.5836,3.94,8,10,0,0,3.8411,481.922244,True,0.08
DOGEUSDT,240,DONCHIAN_55,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,18,-25.860123,-20.09377,5.766353,22.22,18,4,14,14.619877,-40.48,3.654969,-2.891429,44.1682,5.44,12,6,0,0,5.6563,474.139877,True,0.09
DOGEUSDT,240,DONCHIAN_55,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,18,-25.860123,-20.09377,5.766353,22.22,18,4,14,14.619877,-40.48,3.654969,-2.891429,44.1682,5.44,12,6,0,0,5.6563,474.139877,True,0.08
DOGEUSDT,240,DONCHIAN_55,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,18,-23.946708,-18.179426,5.767282,22.22,18,4,14,16.533292,-40.48,4.133323,-2.891429,41.1606,5.67,12,6,0,0,5.2745,476.053292,True,0.08
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,14,-18.203431,-13.727625,4.475806,7.14,14,1,13,0.214956,-18.418388,0.214956,-1.416799,86.8267,0.79,4,10,0,0,3.6407,481.796569,True,0.08
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,14,-18.017671,-13.54048,4.477191,14.29,14,2,12,0.814578,-18.832249,0.407289,-1.569354,79.3949,1.14,4,10,0,0,3.6035,481.982329,True,0.08
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,14,-19.087743,-14.606444,4.481298,14.29,14,2,12,3.599819,-22.687562,1.79991,-1.89063,51.2291,3.71,4,10,0,0,4.0623,480.912257,True,0.08
