symbol,interval,strategy,min_agree,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered,promotion_pass_genuine_filtered,n_months_flipped_to_zero_trade
BTCUSDT,60,BB_20_25_breakout,2,288,168,134,74,-52.420319,4.259617,29.85,40.54,7,7,8.909,False,False,False,0
BTCUSDT,60,BB_20_25_breakout,3,288,219,134,52,-52.420319,-14.573044,29.85,34.62,7,9,7.1852,False,False,False,0
BTCUSDT,60,BB_20_25_breakout,4,288,263,134,22,-52.420319,-26.896949,29.85,27.27,7,9,7.9973,False,False,False,1
XRPUSDT,60,BB_20_25_breakout,1,292,144,140,88,143.074097,132.968478,22.14,21.59,5,7,12.588,False,False,False,0
XRPUSDT,60,BB_20_25_breakout,2,292,182,140,68,143.074097,148.243846,22.14,20.59,5,6,12.1369,False,False,False,0
XRPUSDT,60,BB_20_25_breakout,3,292,222,140,50,143.074097,145.650731,22.14,20.0,5,7,10.4901,False,False,False,0
XRPUSDT,60,BB_20_25_breakout,4,292,264,140,25,143.074097,151.902852,22.14,16.0,5,6,9.8341,False,False,False,1
DOGEUSDT,60,BB_20_25_breakout,1,270,109,152,108,-22.2282,12.996289,21.71,23.15,6,6,14.0511,False,False,False,0
DOGEUSDT,60,BB_20_25_breakout,2,270,147,152,86,-22.2282,-35.000079,21.71,24.42,6,6,14.9174,False,False,False,0
DOGEUSDT,60,BB_20_25_breakout,3,270,197,152,63,-22.2282,-80.56239,21.71,19.05,6,9,19.1371,False,False,False,0
DOGEUSDT,60,BB_20_25_breakout,4,270,244,152,25,-22.2282,-52.141681,21.71,16.0,6,9,11.5102,False,False,False,0
