group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,sum_wins,n_wins,sum_losses,n_losses,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
donchian,XRPUSDT,60,DONCHIAN_20,one_shot,0,0.03,192,-197.398496,-135.957119,61.441376,33.33,192,56,82.867329,64,-280.265825,128,20.69,56,83,53,0,39.7916,302.601504,True,0.71
donchian,XRPUSDT,60,DONCHIAN_55,none,0,0.03,76,-401.860258,-297.909896,103.950362,36.62,325,148,154.983142,119,-556.8434,206,17.21,148,152,25,0,80.3721,98.139742,False,0.8
donchian,XRPUSDT,60,DONCHIAN_55,one_shot,0,0.03,76,-93.472304,-69.127639,24.344665,36.84,76,36,36.979491,28,-130.451795,48,25.17,36,35,5,0,18.6945,406.527696,True,0.54
donchian,XRPUSDT,60,DONCHIAN_PULLBACK_20,none,0,0.03,141,-400.643924,-295.263211,105.380713,33.64,330,142,141.74002,111,-542.383945,219,15.17,142,150,38,0,80.1938,99.356076,False,0.7
donchian,XRPUSDT,60,DONCHIAN_PULLBACK_20,one_shot,0,0.03,141,-150.680912,-105.905395,44.775518,35.71,140,55,69.201612,50,-219.882524,90,23.54,55,58,27,0,30.8694,349.319088,True,0.57
donchian,XRPUSDT,60,DONCHIAN_PULLBACK_55,none,0,0.03,59,-401.873046,-293.207639,108.665407,37.65,340,157,148.525763,128,-550.398809,212,14.34,157,173,10,0,80.512,98.126954,False,0.73
donchian,XRPUSDT,60,DONCHIAN_PULLBACK_55,one_shot,0,0.03,59,-46.337052,-27.427431,18.909621,49.15,59,25,40.029219,29,-86.366271,30,26.42,25,32,2,0,9.9711,453.662948,True,0.57
harness_control,XRPUSDT,60,EMA_8_21,none,0,0.03,471,-402.424903,-266.400395,136.024507,28.0,425,92,142.267942,119,-544.692845,306,10.0,92,142,191,0,80.6728,97.575097,False,0.76
harness_control,XRPUSDT,60,EMA_8_21,one_shot,0,0.03,471,-368.260487,-217.529519,150.730969,25.69,471,53,142.575751,121,-510.836238,350,10.92,53,140,277,1,74.3394,131.739513,True,0.54
harness_control,XRPUSDT,60,BB_20_25_breakout,none,0,0.03,292,-317.164318,-234.60804,82.556278,31.78,258,106,103.097359,82,-420.261677,176,15.2,106,126,26,0,63.7706,182.835682,True,0.28
harness_control,XRPUSDT,60,BB_20_25_breakout,one_shot,0,0.03,292,-260.294611,-188.285019,72.009592,33.78,225,88,94.958504,76,-355.253116,149,16.64,88,112,25,0,52.2533,239.705389,True,0.28
donchian,DOGEUSDT,240,DONCHIAN_20,none,0,0.03,49,-401.462417,-314.893091,86.569326,16.61,271,121,48.162117,45,-449.624534,226,1.32,121,149,1,0,80.3015,98.537583,False,0.15
donchian,DOGEUSDT,240,DONCHIAN_20,one_shot,0,0.03,49,-83.594807,-67.908544,15.686263,20.41,49,26,9.204903,10,-92.799711,39,3.43,26,23,0,0,16.7573,416.405193,True,0.11
donchian,DOGEUSDT,240,DONCHIAN_55,none,0,0.03,18,-401.058503,-318.571202,82.487301,15.12,258,120,41.75441,39,-442.812913,219,1.19,120,138,0,0,80.259,98.941497,False,0.15
donchian,DOGEUSDT,240,DONCHIAN_55,one_shot,0,0.03,18,-28.240655,-22.482081,5.758574,5.56,18,8,0.916014,1,-29.15667,17,2.11,8,10,0,0,5.8689,471.759345,True,0.11
donchian,DOGEUSDT,240,DONCHIAN_PULLBACK_20,none,0,0.03,35,-401.842496,-321.994505,79.847991,15.2,250,121,41.29027,38,-443.132766,212,1.64,121,129,0,0,80.3994,98.157504,False,0.12
donchian,DOGEUSDT,240,DONCHIAN_PULLBACK_20,one_shot,0,0.03,35,-54.737194,-43.552042,11.185152,34.29,35,20,12.589704,12,-67.326898,23,4.6,20,15,0,0,11.2428,445.262806,True,0.43
